datetime,subject
2025-04-01 08:30, Visual Art 1/2
2025-04-02 08:30, Chinese 1
2025-04-02 10:45, Chinese 2
2025-04-03 08:30, English 1
2025-04-03 11:00, English 2
2025-04-05 09:15, English 3
2025-04-07 08:30, Math 1
2025-04-07 11:30, Math 2
2025-04-08 08:30, CS
2025-04-09 08:30, Ethics & Religious 1
2025-04-09 11:00, Ethics & Religious 2
2025-04-10 08:30, Chemistry 1
2025-04-10 11:45, Chemistry 2
2025-04-11 08:30, Health & Social Care 1
2025-04-11 11:15, Health & Social Care 2
2025-04-12 08:30, ICT 1
2025-04-12 11:15, ICT 2
2025-04-14 08:30, Biology 1
2025-04-14 11:45, Biology 2
2025-04-15 08:30, BAFS 1
2025-04-15 10:15, BAFS 2
2025-04-16 08:30, Physics 1
2025-04-16 11:45, Physics 2
2025-04-17 08:30, DAT 1
2025-04-17 11:15, DAT 2
2025-04-17 08:30, English Literature 1
2025-04-17 13:30, English Literature 2
2025-04-17 08:30, Technology & Living 1
2025-04-17 10:45, Technology & Living 2
2025-04-17 08:30, Music 1A
2025-04-17 10:45, Music 1B
2025-04-22 08:30, Chinese Literature 1
2025-04-22 11:15, Chinese Literature 2
2025-04-23 08:30, Physical Education 1
2025-04-23 11:30, Physical Education 2
2025-04-24 08:30, Geography 1
2025-04-24 12:00, Geography 2
2025-04-25 08:30, Tourism 1
2025-04-25 10:45, Tourism 2
2025-04-26 08:30, History 1
2025-04-26 11:15, History 2
2025-04-28 08:30, M1 / 2
2025-04-29 08:30, Chinese History 1
2025-04-29 11:30, Chinese History 2
2025-04-30 08:30, Economics 1
2025-04-30 10:15, Economics 2